Collection,                           Size,   Adding,   Iterating, Removing,,,    Collection,                          Size,   Adding,Iterating,Removing
CopyOnWriteArrayList,               100000.00, 35354.00,    65.80,165197.00,,,,,,,
CopyOnWriteArrayList,                10000.00,  2115.00,    97.70, 36269.00,,,,,,,
CopyOnWriteArrayList,                 1000.00,   217.00,    75.10,  1828.00,,,,,,,
CopyOnWriteArrayList,                  100.00,    60.00,    63.40,   227.00,,,,,,,
CopyOnWriteArrayList,                   10.00,    48.20,    71.00,   103.00,,,,,,,
CopyOnWriteArraySet,                100000.00,106116.00,    63.30,165708.00,,,,,,,
CopyOnWriteArraySet,                 10000.00, 28736.00,    91.20, 29820.00,,,,,,,
CopyOnWriteArraySet,                  1000.00,  1143.00,    75.10,  1852.00,,,,,,,
CopyOnWriteArraySet,                   100.00,   134.00,    63.40,   233.00,,,,,,,
CopyOnWriteArraySet,                    10.00,    55.30,    73.00,   109.00,,,,,,,
newSetFromMap ConcurrentHashMap,    100000.00,    70.60,   291.00,   149.00,,,,,,,
newSetFromMap ConcurrentHashMap,     10000.00,    57.20,   485.00,   120.00,,,,,,,
newSetFromMap ConcurrentHashMap,      1000.00,    53.40,  2869.00,   121.00,,,,,,,
newSetFromMap ConcurrentHashMap,       100.00,    54.70, 24150.00,   140.00,,,,,,,
newSetFromMap ConcurrentHashMap,        10.00,    68.70, 93921.00,   197.00,,,,,,,
newSetFromMap ConcurrentSkipListMap,100000.00,   135.00,    96.80,   365.00,,,,,,,
newSetFromMap ConcurrentSkipListMap, 10000.00,   113.00,    95.10,   285.00,,,,,,,
newSetFromMap ConcurrentSkipListMap,  1000.00,    97.80,    94.70,   234.00,,,,,,,
newSetFromMap ConcurrentSkipListMap,   100.00,    83.30,    95.20,   192.00,,,,,,,
newSetFromMap ConcurrentSkipListMap,    10.00,    64.20,   112.00,   151.00,,,,,,,
